a,b,theta,phi1,phi2,E,E_p1,E_p2,E_t1,E_t2,E_t3,E_t4,E_m1,E_m2,machine_type,status,file_name,R3,R4
7.7,5.8,26.5,1,0,-42.240595417354385,-9.222188165,-9.189099562354388,-14.32135953,-14.33808894,-12.3115454,-12.47040583,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,0,-2,-42.074311544968346,-9.356933387,-9.329078217968343,-14.46042202,-14.43493883,-11.95599196,-12.17751554,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,0,2,-42.14194455364955,-9.317237105,-9.301825458649548,-13.88265473,-14.21681008,-12.52499292,-12.50237746,14.8104323,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=2_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,6.0,26.5,1,0,-42.51508084052206,-9.311087506,-9.317237104522064,-14.29028523,-14.31209748,-12.36238626,-12.53407927,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.7_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,0,-2,-41.91411450989131,-9.317237105,-9.323229824891314,-14.42073828,-14.38673352,-11.94015988,-12.16658431,14.8104323,14.83013611,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=0_phi2=-2_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,1,1,-42.125202599945695,-9.222188165,-9.222188164945694,-14.20192555,-14.29051741,-12.35089027,-12.44081246,14.80165971,14.80165971,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,1,1,-42.7121440780149,-9.367714009,-9.36771400901489,-14.18645743,-14.29511078,-12.49853083,-12.59993644,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.8,26.5,1,0,-42.12356479735439,-9.222188165,-9.189099562354388,-14.24834246,-14.26095541,-12.32541337,-12.48965784,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.8_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,1,-1,-42.52805773939509,-9.367714009,-9.34364900039509,-14.42719536,-14.38276138,-12.20110364,-12.42718921,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,1,1,-42.65999798801491,-9.367714009,-9.36771400901489,-14.23370893,-14.33357714,-12.43289328,-12.52771004,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,5.9,26.5,1,0,-42.38195457622922,-9.367714009,-9.35693338722922,-14.21180255,-14.22745893,-12.32988751,-12.5002502,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.8_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,1,-1,-41.81897771929503,-9.222188165,-9.15344444429502,-14.37370641,-14.36402393,-12.05805646,-12.26911317,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,6.0,26.5,1,1,-42.66147892235759,-9.311087506,-9.31108750635758,-14.23318182,-14.343065099999999,-12.48370904,-12.58266737,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.6_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.8,6.0,26.5,1,0,-42.131201600522076,-9.311087506,-9.317237104522064,-14.150074400000001,-14.16807766,-12.31078611,-12.48603083,14.80165971,14.8104323,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=0_a=7.8_b=6.0_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.9,26.5,1,-1,-42.42609364939509,-9.367714009,-9.34364900039509,-14.42959873,-14.41071695,-12.13742392,-12.358545900000001,14.80165971,14.81989515,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=-1_a=7.6_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.8,26.5,1,1,-42.344686769945696,-9.222188165,-9.222188164945694,-14.19554377,-14.29425737,-12.45841411,-12.55541461,14.80165971,14.80165971,2,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=1_a=7.7_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.6,5.8,26.5,1,2,-42.20278794819674,-9.222188165,-9.251260703196749,-14.07075086,-14.24947198,-12.48761843,-12.51667842,14.80165971,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.6_b=5.8_cx=0_cy=0_cz=0.log,-0.3,-0.5
7.7,5.9,26.5,1,2,-42.75078614339904,-9.367714009,-9.374955474399028,-14.03463138,-14.24880682,-12.64238122,-12.67747785,14.80165971,14.7935209,1,Done,mono-C9-BTBT_theta=26.5_R3=-0.3_R4=-0.5_phi1=1_phi2=2_a=7.7_b=5.9_cx=0_cy=0_cz=0.log,-0.3,-0.5
