a,b,theta,E,E_p,E_t,machine_type,status,file_name
7.5,6.5,20.0,-37.84414918,-3.322389346,-7.799842623,2,Done,BTBT_theta=20.0_a=7.5_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,20.0,-34.05707613,-10.56051639,-3.234010837,1,Done,BTBT_theta=20.0_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.6,20.0,-33.55235729,-10.16164594,-3.307266354,1,Done,BTBT_theta=20.0_a=4.0_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.7,20.0,-33.49131312,-10.16164594,-3.292005311,1,Done,BTBT_theta=20.0_a=4.0_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.8,20.0,-33.3836575,-10.16164594,-3.265091408,1,Done,BTBT_theta=20.0_a=4.0_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,20.0,-33.86214643,-10.69327241,-3.118900403,1,Done,BTBT_theta=20.0_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.5,20.0,-34.0047167,-10.56051639,-3.220920979,1,Done,BTBT_theta=20.0_a=3.9_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.5,20.0,-33.56139344,-10.16164594,-3.309525391,1,Done,BTBT_theta=20.0_a=4.0_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.3,25.0,-27.37689333,-1.431369135,-6.128538764,1,Done,BTBT_theta=25.0_a=6.2_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.5,25.0,-38.76894832,-4.096033874,-7.644220143,1,Done,BTBT_theta=25.0_a=7.8_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.6,25.0,-38.27418179,-3.952076805,-7.592507044,1,Done,BTBT_theta=25.0_a=7.8_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.4,25.0,-27.23791241,-1.431369135,-6.093793536,1,Done,BTBT_theta=25.0_a=6.2_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.7,25.0,-37.67698052,-3.777120742,-7.530684759,1,Done,BTBT_theta=25.0_a=7.8_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
