a,b,theta,E,E_p1,E_t,machine_type,status,file_name
3.8,12.5,10,-59.20328436,-14.02294087,-7.789350656,2,Done,hexacene_theta=10_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.5,10,-58.63765939,-13.47067559,-7.924077053,2,Done,hexacene_theta=10_a=3.9_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.4,10,-59.02852284,-14.22390095,-7.645180234,2,Done,hexacene_theta=10_a=3.7_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,10,-59.57958956,-14.02294087,-7.883426955,2,Done,hexacene_theta=10_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.4,10,-59.19245353,-13.47067559,-8.062775588,2,Done,hexacene_theta=10_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.3,10,-58.99651982,-14.22390095,-7.637179481,2,Done,hexacene_theta=10_a=3.7_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,10,-59.78666786,-14.02294087,-7.93519653,2,Done,hexacene_theta=10_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,10,-59.60723764,-13.47067559,-8.166471616,2,Done,hexacene_theta=10_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.2,10,-58.72699173,-14.22390095,-7.569797457,2,Done,hexacene_theta=10_a=3.7_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.2,10,-59.79442388,-14.02294087,-7.937135536,2,Done,hexacene_theta=10_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.2,10,-59.855832,-13.47067559,-8.228620206,2,Done,hexacene_theta=10_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.1,10,-59.57000121,-14.02294087,-7.881029867,2,Done,hexacene_theta=10_a=3.8_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.1,10,-59.90962216,-13.47067559,-8.242067746,2,Done,hexacene_theta=10_a=3.9_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12.1,10,-59.42819649,-12.66738749,-8.523355378,2,Done,hexacene_theta=10_a=4.0_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12.2,10,-59.1334676,-12.66738749,-8.449673154,2,Done,hexacene_theta=10_a=4.0_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12.3,10,-58.67653992,-12.66738749,-8.335441234,2,Done,hexacene_theta=10_a=4.0_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12,10,-59.07883658,-14.02294087,-7.75823871,2,Done,hexacene_theta=10_a=3.8_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12,10,-59.73798563,-13.47067559,-8.199158612,2,Done,hexacene_theta=10_a=3.9_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
4,12,10,-59.53381898,-12.66738749,-8.549760999,2,Done,hexacene_theta=10_a=4.0_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.6,15,-59.65790281,-15.21770736,-7.305622022,2,Done,hexacene_theta=15_a=3.6_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.7,15,-59.16114079,-15.21770736,-7.181431518,2,Done,hexacene_theta=15_a=3.6_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.8,15,-58.53947919,-15.21770736,-7.026016117,2,Done,hexacene_theta=15_a=3.6_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.5,15,-60.00433853,-15.21770736,-7.392230953,2,Done,hexacene_theta=15_a=3.6_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.4,15,-60.17221,-15.21770736,-7.434198821,2,Done,hexacene_theta=15_a=3.6_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,15,-60.26545798,-15.57444679,-7.2791411,2,Done,hexacene_theta=15_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,15,-60.90950914,-15.57444679,-7.440153891,2,Done,hexacene_theta=15_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,15,-59.51834458,-15.57444679,-7.092362749,2,Done,hexacene_theta=15_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.5,15,-61.4273806,-15.57444679,-7.569621754,2,Done,hexacene_theta=15_a=3.7_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.4,15,-61.79374604,-15.57444679,-7.661213114,2,Done,hexacene_theta=15_a=3.7_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.3,15,-61.98074402,-15.57444679,-7.707962609,2,Done,hexacene_theta=15_a=3.7_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.2,15,-61.95755125,-15.57444679,-7.702164417,2,Done,hexacene_theta=15_a=3.7_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.1,15,-61.6911105,-15.57444679,-7.63555423,2,Done,hexacene_theta=15_a=3.7_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12,15,-61.14720993,-15.57444679,-7.499579088,2,Done,hexacene_theta=15_a=3.7_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,15,-60.68630386,-15.27679998,-7.533175974,2,Done,hexacene_theta=15_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,15,-59.91441636,-15.27679998,-7.340204099,2,Done,hexacene_theta=15_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,15,-59.06019954,-15.27679998,-7.126649895,2,Done,hexacene_theta=15_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,15,-61.35480281,-15.27679998,-7.700300712,2,Done,hexacene_theta=15_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,15,-61.89674554,-15.27679998,-7.835786396,2,Done,hexacene_theta=15_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.3,15,-62.28698146,-15.27679998,-7.933345376,2,Done,hexacene_theta=15_a=3.8_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.2,15,-62.49815113,-15.27679998,-7.986137792,2,Done,hexacene_theta=15_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.1,15,-62.50078667,-15.27679998,-7.986796678,2,Done,hexacene_theta=15_a=3.8_b=12.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12,15,-62.2639644,-15.27679998,-7.927591109,2,Done,hexacene_theta=15_a=3.8_b=12.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,15,-61.65965971,-14.62459746,-8.102616198,2,Done,hexacene_theta=15_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
