a,b,theta,E,E_t,machine_type,status,file_name,E_p1,E_p2
6.5,8.5,30.0,-31.081586865708232,-6.750539226573892,1,Done,BTBT_a=6.5_b=8.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.7480546708684415,-1.2916603088378906
4.0,12.0,35.0,-32.04024644289166,-3.723443536669947,2,Done,BTBT_a=4.0_b=12.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0684927166439592,-8.504743431461975
6.5,8.0,60.0,-39.90115206502378,-7.73229117190931,1,Done,BTBT_a=6.5_b=8.0_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3397527392953634,-4.146240949397907
6.0,9.0,60.0,-35.86353937210515,-6.296793020796031,2,Done,BTBT_a=6.0_b=9.0_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1546059139072895,-5.183577730553225
6.0,9.5,50.0,-33.86225937958807,-6.071548306150362,1,Done,BTBT_a=6.0_b=9.5_theta=50_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1838980808388441,-4.604134996654466
6.5,9.0,45.0,-32.649772006552666,-6.757266133790836,2,Done,BTBT_a=6.5_b=9.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.317174929426983,-2.4931788062676787
6.5,8.5,35.0,-32.151541617233306,-6.913371796486899,1,Done,BTBT_a=6.5_b=8.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.6495858018752187,-1.5994414137676358
7.0,8.0,20.0,-32.284536086954176,-7.063892620266415,2,Done,BTBT_a=7.0_b=8.0_theta=20_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-1.4803149155341089,-0.534167887410149
6.5,7.5,60.0,-39.95243218168616,-7.656280885566957,2,Done,BTBT_a=6.5_b=7.5_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5174133703112602,-4.146240949397907
6.5,7.5,65.0,-41.0980646382086,-7.975758776650764,1,Done,BTBT_a=6.5_b=7.5_theta=65.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4113453552126884,-4.186169410590082
6.5,9.0,50.0,-33.04796475172043,-6.594333162298426,2,Done,BTBT_a=6.5_b=9.0_theta=50_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2580572122242301,-3.077258839039132
6.0,9.5,55.0,-33.4761148262769,-5.706858319579624,1,Done,BTBT_a=6.0_b=9.5_theta=55_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.1436307639814913,-5.180710009997711
6.5,8.5,40.0,-33.5047543826513,-7.103206121828407,1,Done,BTBT_a=6.5_b=8.5_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5499560390599072,-1.9960089086089283
6.5,8.0,70.0,-36.29486464569345,-7.258226192323491,2,Done,BTBT_a=6.5_b=8.0_theta=70_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2038152478635311,-3.4271646903362125
7.0,8.0,30.0,-33.10278402548283,-7.287825838662684,2,Done,BTBT_a=7.0_b=8.0_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-1.1691954573616383,-0.8065448780544102
6.5,9.0,55.0,-32.95841907616705,-6.297407980659045,2,Done,BTBT_a=6.5_b=9.0_theta=55_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2034701176453381,-3.680923459120095
6.5,7.5,70.0,-39.57652859156951,-8.016151595395058,1,Done,BTBT_a=6.5_b=7.5_theta=70_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3287964146584272,-3.4271646903362125
7.0,7.5,65.0,-38.2721612052992,-7.757906129932962,1,Done,BTBT_a=7.0_b=7.5_theta=65_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4113453552126884,-3.208922987570986
6.5,8.5,45.0,-34.94792697997764,-7.262480709818192,1,Done,BTBT_a=6.5_b=8.5_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.4558232640847564,-2.4931788062676787
8.0,6.0,25.0,-38.95093877334148,-7.655973405693658,2,Done,BTBT_a=8.0_b=6.0_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-3.899322039680556,-0.2642005356028676
7.0,8.0,35.0,-33.58547726785764,-7.398022869951092,2,Done,BTBT_a=7.0_b=8.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.9906500368379056,-1.0060428571887314
4.0,11.5,25.0,-33.41090398654342,-2.95196391758509,2,Done,BTBT_a=4.0_b=11.5_theta=25_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0892883979249745,-10.712235760176554
4.0,11.5,30.0,-35.31194553012028,-3.526474422775209,1,Done,BTBT_a=4.0_b=11.5_theta=30.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0918925642035901,-10.511131355306134
7.0,7.5,75.0,-35.71430494263768,-7.337712883716449,1,Done,BTBT_a=7.0_b=7.5_theta=75_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2666540993377566,-2.915072604548186
8.5,5.5,35.0,-37.75565772457048,-6.220594481448643,1,Done,BTBT_a=8.5_b=5.5_theta=35.0_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-6.143178572645411,-0.2934613267425447
6.5,8.5,50.0,-36.16371505474672,-7.317362734582275,2,Done,BTBT_a=6.5_b=8.5_theta=50_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.3698732191696763,-3.077258839039132
7.0,8.0,40.0,-34.19407411664724,-7.506720152101479,2,Done,BTBT_a=7.0_b=8.0_theta=40_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.8219063228461891,-1.2616904312744737
8.0,6.0,35.0,-38.22429474256933,-6.749704638263211,2,Done,BTBT_a=8.0_b=6.0_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-5.180710009997711,-0.4320280847605318
4.0,11.5,35.0,-32.77723183715716,-3.897401858936064,1,Done,BTBT_a=4.0_b=11.5_theta=35_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.0890687692444771,-8.504743431461975
7.0,7.5,60.0,-38.037648166995496,-7.813635292928666,1,Done,BTBT_a=7.0_b=7.5_theta=60_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.5174133703112602,-2.874140127329156
6.5,8.5,55.0,-36.803210496436805,-7.213610231177881,2,Done,BTBT_a=6.5_b=8.5_theta=55_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.2934613267425447,-3.680923459120095
8.5,5.5,30.0,-36.35496755223721,-6.940310800680891,1,Done,BTBT_a=8.5_b=5.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-4.06944000069052,-0.2274221740663051
7.0,8.0,45.0,-34.90540690347552,-7.59903942339588,2,Done,BTBT_a=7.0_b=8.0_theta=45_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-0.6718498566187918,-1.5827747483272103
9.0,5.5,30.0,-33.872387391049415,-6.356073890463449,2,Done,BTBT_a=9.0_b=5.5_theta=30_cx=0_cy=0_cz=0_A1=0.0_A2=0.log,-4.06944000069052,-0.1546059139072895
